epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.69,0.67772,3.26069,1.09119,0.21424,0.66234,0.29557,0.28526,0.33717,3.04284,0.83827,9.999e-05,9.999e-05,9.999e-05
2,282.139,0.51768,1.66473,0.96231,0.69932,0.67177,0.75747,0.73147,0.36273,1.93119,0.87092,0.00020562,0.00020562,0.00020562
3,417.285,0.51469,1.04138,0.94898,0.84576,0.73209,0.87991,0.81742,0.37597,1.33045,0.86776,0.000307651,0.000307651,0.000307651
4,551.959,0.54763,0.85288,0.97781,0.89613,0.85923,0.93541,0.87579,0.42633,1.00083,0.88309,0.000406082,0.000406082,0.000406082
5,687.761,0.55338,0.73658,0.96483,0.83781,0.85515,0.87463,0.80948,0.41879,1.05449,0.90255,0.000500914,0.000500914,0.000500914
6,823.705,0.54223,0.65043,0.95477,0.8167,0.79934,0.8717,0.78977,0.47788,0.97393,0.90436,0.000592145,0.000592145,0.000592145
7,957.999,0.58016,0.64919,0.99525,0.8575,0.74413,0.80882,0.70345,0.59691,1.20292,1.24914,0.000679777,0.000679777,0.000679777
8,1094.82,0.58588,0.62806,1.02656,0.85703,0.89535,0.95293,0.84018,0.46911,0.87439,0.95751,0.00076381,0.00076381,0.00076381
9,1229.61,0.546,0.62902,0.98661,0.92605,0.92334,0.96577,0.88402,0.46393,0.60993,0.95184,0.000789012,0.000789012,0.000789012
10,1362.86,0.56997,0.58183,0.98269,0.96849,0.94918,0.99337,0.90924,0.44528,0.56645,0.90586,0.000774013,0.000774013,0.000774013
11,1498.33,0.54957,0.55303,0.95471,0.95106,0.98662,0.995,0.90845,0.44235,0.51162,0.9561,0.000759015,0.000759015,0.000759015
12,1632.42,0.51716,0.49537,0.9672,0.85338,0.95411,0.98389,0.8956,0.43167,0.63063,0.91756,0.000744016,0.000744016,0.000744016
13,1769.53,0.49709,0.45966,0.93139,0.89951,0.84299,0.98132,0.91487,0.43728,0.55721,0.88732,0.000729018,0.000729018,0.000729018
14,1909.38,0.52032,0.49497,0.94657,0.86606,0.92074,0.94998,0.86713,0.40967,0.58452,0.88703,0.000714019,0.000714019,0.000714019
15,2048.18,0.49633,0.48071,0.91999,0.9769,0.98199,0.995,0.90212,0.41241,0.40997,0.90226,0.000699021,0.000699021,0.000699021
16,2188.04,0.51706,0.48085,0.95106,0.92531,1,0.995,0.93221,0.40249,0.43159,0.89633,0.000684022,0.000684022,0.000684022
17,2326.61,0.48514,0.45162,0.92251,0.91425,0.96442,0.97859,0.90594,0.39791,0.48438,0.90243,0.000669024,0.000669024,0.000669024
